"team","Capital.City","Latitude","Longitude","Population","Capital.Type","possession.team","possession.in.contest","number.of.goals.team","total.attempts.team","conceded.team","goal.inside.the.penalty.area.team","goal.outside.the.penalty.area.team","assists.team","on.target.attempts.team","off.target.attempts.team","attempts.inside.the.penalty.area.team","attempts.outside.the.penalty.area..team","left.channel.team","left.inside.channel.team","central.channel.team","right.inside.channel.team","right.channel.team","total.offers.to.receive.team","inbehind.offers.to.receive.team","inbetween.offers.to.receive.team","infront.offers.to.receive.team","receptions.between.midfield.and.defensive.lines.team","attempted.line.breaks.team","completed.line.breaks.team","attempted.defensive.line.breaks.team","completed.defensive.line.breaks.team","yellow.cards.team","red.cards.team","fouls.committed","fouls.drawn","offsides.team","passes.team","passes.completed.team","crosses.team","crosses.completed.team","switches.of.play.completed.team","corners.team","free.kicks.team","penalties.scored.team","goal.preventions.team","own.goals.team","forced.turnovers.team","defensive.pressures.applied.team","total.goals","total.attempts","total.attempted.defensive.line.breaks","team_num"
"ENGLAND","London",51.5085,-0.1257,9046485,"Capital",57.8,9.8,2.6,12,0.8,2.4,0.2,2.2,5.4,4.2,8.4,3.6,13.2,4.6,4.4,4.8,10.8,793.8,146,314.8,333,10.8,188.8,138.6,18,11.2,0.2,0,10.6,14.2,1,610.4,544.6,18.8,6,8.6,5,14.8,0.2,9,0,56,199,3.4,20.8,29,1.2
"FRANCE","Paris",48.8534,2.3488,10900952,"Capital",44.8571428571429,11.4285714285714,2.28571428571429,14.4285714285714,1.14285714285714,2.14285714285714,0.142857142857143,1.71428571428571,5,6,10.4285714285714,4,16.1428571428571,5.85714285714286,4.14285714285714,4.14285714285714,14.7142857142857,536.714285714286,106.571428571429,181.285714285714,248.857142857143,12.4285714285714,152.142857142857,103,17.7142857142857,11.7142857142857,1.14285714285714,0,9.85714285714286,12.7142857142857,2.28571428571429,522.285714285714,456,20.8571428571429,7,4,5.42857142857143,14,0.285714285714286,11.4285714285714,0,74.8571428571429,283.714285714286,3.42857142857143,25.5714285714286,38.8571428571429,1.42857142857143
"GERMANY","Berlin",52.5244,13.4105,3552123,"Capital",52.6666666666667,12.3333333333333,2,22.3333333333333,1.66666666666667,2,0,1.66666666666667,8,11,15.3333333333333,7,18.6666666666667,8.33333333333333,10.3333333333333,6.66666666666667,14.6666666666667,684,174.666666666667,271.666666666667,237.666666666667,18.6666666666667,192.333333333333,142.333333333333,24.6666666666667,17.3333333333333,1,0,8.66666666666667,10,4,633,561.666666666667,26.3333333333333,7.33333333333333,3.66666666666667,8.33333333333333,13,0.333333333333333,9,0,77.6666666666667,260.333333333333,3.66666666666667,30.6666666666667,41,1.66666666666667
"GHANA","Accra",5.556,-0.1969,2439389,"Capital",37.6666666666667,13.3333333333333,1.66666666666667,8.33333333333333,2.33333333333333,1.66666666666667,0,1.33333333333333,3.33333333333333,4,4.33333333333333,4,9,5.66666666666667,6,3.33333333333333,7.33333333333333,481.666666666667,104.333333333333,197,180.333333333333,6,153.333333333333,88.3333333333333,12.3333333333333,4.66666666666667,2.66666666666667,0,15.3333333333333,12.6666666666667,1.33333333333333,391,321,15,3,2.66666666666667,4.33333333333333,13.6666666666667,0,14.6666666666667,0,83,299.333333333333,4,23,37,1.66666666666667
"IRAN","Tehran",35.6944,51.4215,8895947,"Capital",31.3333333333333,12.6666666666667,1.33333333333333,11.6666666666667,2.33333333333333,1,0.333333333333333,0.666666666666667,3.66666666666667,4.66666666666667,6,5.66666666666667,7.33333333333333,1.66666666666667,5,2.66666666666667,3.66666666666667,349,85.3333333333333,152.666666666667,111,7.33333333333333,160.333333333333,79.6666666666667,18,7.33333333333333,2.33333333333333,0,12.3333333333333,9.33333333333333,2,327.333333333333,245,17.3333333333333,2.66666666666667,6.33333333333333,2.66666666666667,10.6666666666667,0.333333333333333,11.6666666666667,0,73,329,3.66666666666667,23.3333333333333,41,1.66666666666667
"JAPAN","Tokyo",35.6895,139.6917,37468302,"Capital",29.75,12,1.25,10.5,1,1,0.25,1,3.25,4,6.5,4,12.25,3.75,4.75,3.5,11,513,128,194.25,190.75,8.25,151,84.5,18.5,8.5,1.5,0,14.5,9.25,2.25,398.25,324.5,16.75,3.25,2.75,4.75,11.25,0,15.5,0,79.75,457.25,2.25,25.25,35.5,1.25
"KOREA REPUBLIC","Seoul",37.5683,126.9778,9963497,"Capital",42.25,12,1.25,12.25,2,1,0.25,0.75,4.5,4.75,7,5.25,16.25,4,4.5,4.75,18.5,565.75,130,229.5,206.25,12.5,178.25,117,18,11.75,1.5,0,11.25,8.75,1.75,466.5,401.75,23,5.75,11.75,6,10.25,0,12.5,0,60.5,284.75,3.25,24.25,35.5,1.5
"MEXICO","Ciudad de México (Mexico City)",19.4273,-99.1419,21580827,"Capital",48.3333333333333,15.3333333333333,0.666666666666667,14,1,0.333333333333333,0.333333333333333,0.333333333333333,5,5,7,7,14.6666666666667,4,1.66666666666667,4,18,470.666666666667,133.333333333333,170.333333333333,167,14,165,101.333333333333,26,13.3333333333333,2.33333333333333,0,17,17,4.33333333333333,417.666666666667,348.333333333333,28,6,5,5.33333333333333,18.3333333333333,0,7.66666666666667,0,72,249.666666666667,1.66666666666667,21.6666666666667,39,1.66666666666667
"MOROCCO","Rabat",34.0133,-6.8326,1846661,"Capital",34.8571428571429,11.4285714285714,0.857142857142857,8.71428571428571,0.714285714285714,0.714285714285714,0.142857142857143,0.571428571428571,2.42857142857143,4,4.85714285714286,3.85714285714286,8.85714285714286,1.57142857142857,3.42857142857143,3,10.4285714285714,502.857142857143,103.857142857143,205,194,8.57142857142857,142.428571428571,85.1428571428571,14.8571428571429,7.14285714285714,1.28571428571429,0.142857142857143,13.8571428571429,11.7142857142857,2.71428571428571,384.285714285714,317,12.2857142857143,2.71428571428571,8.28571428571429,1.71428571428571,14.5714285714286,0,11,0.142857142857143,77.7142857142857,359.428571428571,1.57142857142857,19.1428571428571,35.8571428571429,1.57142857142857
"NETHERLANDS","Amsterdam",52.374,4.8897,1131690,"Capital",45,11.2,2,8,0.8,1.8,0.2,1.6,3.2,3.4,5,3,11.8,5.6,5,6.4,15.4,609.8,118.6,251.6,239.6,9.4,174,120.2,15.2,7.4,2.4,0.2,17.4,11.4,1.4,560.8,488.4,15.8,3.4,4.4,3.8,13.4,0,13.4,0,82.4,310,2.8,21.2,37.4,1.2
