"x"
29
22
11
18
35
18
22
31
25
9
21
20
22
21
24
18
21
24
23
26
18
22
28
27
13
17
29
23
17
19
19
19
29
17
19
24
26
26
13
12
29
20
15
29
40
21
31
24
20
28
27
